time,open,high,low,close,volume
2026-08-14T05:49:00+09:00,159.518,159.518,159.511,159.512,33
2026-08-14T05:50:00+09:00,159.512,159.515,159.494,159.5,92
2026-08-14T05:51:00+09:00,159.498,159.503,159.495,159.5,54
2026-08-14T05:52:00+09:00,159.5,159.502,159.5,159.502,20
2026-08-14T05:53:00+09:00,159.502,159.502,159.5,159.501,21
2026-08-14T05:54:00+09:00,159.502,159.51,159.5,159.508,55
2026-08-14T05:55:00+09:00,159.51,159.514,159.508,159.512,42
2026-08-14T05:56:00+09:00,159.513,159.518,159.512,159.516,55
2026-08-14T05:57:00+09:00,159.516,159.518,159.514,159.516,31
2026-08-14T05:58:00+09:00,159.516,159.52,159.514,159.52,96
2026-08-14T05:59:00+09:00,159.519,159.519,159.506,159.518,22
2026-08-14T06:04:00+09:00,159.497,159.497,159.497,159.497,1
2026-08-14T06:05:00+09:00,159.49,159.525,159.476,159.499,14
2026-08-14T06:06:00+09:00,159.495,159.495,159.495,159.495,1
2026-08-14T06:07:00+09:00,159.488,159.51,159.488,159.51,12
2026-08-14T06:08:00+09:00,159.512,159.512,159.5,159.501,5
2026-08-14T06:09:00+09:00,159.498,159.502,159.498,159.501,26
2026-08-14T06:10:00+09:00,159.504,159.514,159.5,159.514,13
2026-08-14T06:11:00+09:00,159.5,159.514,159.499,159.513,17
2026-08-14T06:12:00+09:00,159.499,159.5,159.494,159.494,13
2026-08-14T06:13:00+09:00,159.495,159.504,159.489,159.504,6
2026-08-14T06:14:00+09:00,159.508,159.508,159.508,159.508,1
2026-08-14T06:15:00+09:00,159.51,159.51,159.497,159.5,9
2026-08-14T06:16:00+09:00,159.497,159.5,159.497,159.499,7
2026-08-14T06:17:00+09:00,159.5,159.515,159.498,159.514,19
2026-08-14T06:18:00+09:00,159.516,159.516,159.504,159.506,17
2026-08-14T06:19:00+09:00,159.504,159.508,159.502,159.504,27
2026-08-14T06:20:00+09:00,159.502,159.518,159.502,159.506,14
2026-08-14T06:21:00+09:00,159.506,159.506,159.504,159.505,6
2026-08-14T06:22:00+09:00,159.508,159.519,159.508,159.517,5
2026-08-14T06:23:00+09:00,159.516,159.516,159.508,159.508,4
2026-08-14T06:24:00+09:00,159.506,159.51,159.502,159.502,4
2026-08-14T06:25:00+09:00,159.5,159.5,159.487,159.494,45
2026-08-14T06:26:00+09:00,159.496,159.496,159.484,159.484,18
2026-08-14T06:27:00+09:00,159.484,159.495,159.482,159.494,23
2026-08-14T06:28:00+09:00,159.484,159.486,159.482,159.486,20
2026-08-14T06:29:00+09:00,159.485,159.492,159.484,159.492,19
2026-08-14T06:30:00+09:00,159.49,159.496,159.48,159.494,308
2026-08-14T06:31:00+09:00,159.493,159.504,159.49,159.5,802
2026-08-14T06:32:00+09:00,159.501,159.512,159.492,159.5,1086
2026-08-14T06:33:00+09:00,159.499,159.506,159.494,159.498,530
2026-08-14T06:34:00+09:00,159.497,159.5,159.489,159.494,51
2026-08-14T06:35:00+09:00,159.497,159.498,159.491,159.496,46
2026-08-14T06:36:00+09:00,159.494,159.497,159.491,159.492,20
2026-08-14T06:37:00+09:00,159.492,159.502,159.492,159.501,15
2026-08-14T06:38:00+09:00,159.501,159.502,159.501,159.502,8
2026-08-14T06:39:00+09:00,159.503,159.503,159.5,159.5,4
2026-08-14T06:40:00+09:00,159.502,159.508,159.502,159.508,81
2026-08-14T06:41:00+09:00,159.51,159.52,159.51,159.516,76
2026-08-14T06:42:00+09:00,159.516,159.52,159.514,159.515,51
2026-08-14T06:43:00+09:00,159.516,159.517,159.51,159.512,31
2026-08-14T06:44:00+09:00,159.512,159.514,159.508,159.514,33
2026-08-14T06:45:00+09:00,159.51,159.529,159.498,159.52,177
2026-08-14T06:46:00+09:00,159.521,159.522,159.518,159.52,18
2026-08-14T06:47:00+09:00,159.521,159.526,159.521,159.525,5
2026-08-14T06:48:00+09:00,159.528,159.528,159.528,159.528,3
2026-08-14T06:49:00+09:00,159.528,159.532,159.524,159.527,20
2026-08-14T06:50:00+09:00,159.528,159.537,159.524,159.532,32
2026-08-14T06:51:00+09:00,159.529,159.536,159.525,159.53,28
2026-08-14T06:52:00+09:00,159.532,159.532,159.528,159.528,13
2026-08-14T06:53:00+09:00,159.529,159.53,159.528,159.53,8
2026-08-14T06:54:00+09:00,159.532,159.539,159.518,159.528,45
2026-08-14T06:55:00+09:00,159.522,159.522,159.518,159.52,51
2026-08-14T06:56:00+09:00,159.516,159.532,159.516,159.524,36
2026-08-14T06:57:00+09:00,159.529,159.532,159.522,159.524,38
2026-08-14T06:58:00+09:00,159.523,159.525,159.512,159.517,150
2026-08-14T06:59:00+09:00,159.518,159.519,159.504,159.508,63
2026-08-14T07:00:00+09:00,159.511,159.53,159.488,159.49,202
2026-08-14T07:01:00+09:00,159.49,159.491,159.486,159.491,13
2026-08-14T07:02:00+09:00,159.486,159.494,159.486,159.494,8
2026-08-14T07:03:00+09:00,159.492,159.492,159.486,159.491,8
2026-08-14T07:04:00+09:00,159.487,159.492,159.487,159.492,6
2026-08-14T07:05:00+09:00,159.487,159.487,159.487,159.487,1
2026-08-14T07:06:00+09:00,159.488,159.492,159.487,159.487,8
2026-08-14T07:07:00+09:00,159.488,159.492,159.486,159.49,10
2026-08-14T07:08:00+09:00,159.491,159.491,159.486,159.49,9
2026-08-14T07:09:00+09:00,159.486,159.49,159.486,159.49,7
2026-08-14T07:10:00+09:00,159.486,159.506,159.486,159.503,18
2026-08-14T07:11:00+09:00,159.504,159.504,159.5,159.502,6
2026-08-14T07:12:00+09:00,159.504,159.508,159.497,159.508,24
2026-08-14T07:13:00+09:00,159.508,159.521,159.502,159.512,248
2026-08-14T07:14:00+09:00,159.511,159.511,159.5,159.504,44
2026-08-14T07:15:00+09:00,159.499,159.504,159.499,159.502,33
2026-08-14T07:16:00+09:00,159.503,159.504,159.498,159.5,21
2026-08-14T07:17:00+09:00,159.5,159.505,159.5,159.502,36
2026-08-14T07:18:00+09:00,159.504,159.504,159.499,159.503,17
2026-08-14T07:20:00+09:00,159.504,159.505,159.504,159.505,8
2026-08-14T07:21:00+09:00,159.506,159.507,159.502,159.506,25
2026-08-14T07:22:00+09:00,159.505,159.506,159.501,159.505,19
2026-08-14T07:23:00+09:00,159.506,159.506,159.488,159.492,29
2026-08-14T07:24:00+09:00,159.49,159.495,159.49,159.494,50
2026-08-14T07:25:00+09:00,159.494,159.504,159.494,159.504,20
2026-08-14T07:26:00+09:00,159.503,159.507,159.502,159.505,15
2026-08-14T07:27:00+09:00,159.506,159.514,159.506,159.514,43
2026-08-14T07:28:00+09:00,159.513,159.518,159.513,159.518,7
2026-08-14T07:29:00+09:00,159.517,159.518,159.512,159.517,8
2026-08-14T07:30:00+09:00,159.516,159.517,159.515,159.517,4
2026-08-14T07:31:00+09:00,159.518,159.519,159.513,159.513,11
2026-08-14T07:32:00+09:00,159.518,159.518,159.514,159.514,10
2026-08-14T07:33:00+09:00,159.513,159.516,159.513,159.514,6
2026-08-14T07:34:00+09:00,159.513,159.514,159.513,159.514,6
2026-08-14T07:35:00+09:00,159.514,159.514,159.512,159.512,11
2026-08-14T07:36:00+09:00,159.513,159.513,159.508,159.513,12
2026-08-14T07:37:00+09:00,159.512,159.513,159.508,159.508,12
