episode,offset_bd,date,close,recovery_pct,phase
E4,172,2025-03-13,147.806,-217.4,pre
E4,173,2025-03-14,148.637,-198.5,pre
E4,174,2025-03-17,149.209,-185.5,pre
E4,175,2025-03-18,149.282,-183.8,pre
E4,176,2025-03-19,148.700,-197.0,pre
E4,177,2025-03-20,148.788,-195.0,pre
E4,178,2025-03-21,149.300,-183.4,pre
E4,179,2025-03-24,150.701,-151.5,pre
E4,180,2025-03-25,149.914,-169.4,pre
E4,181,2025-03-26,150.587,-154.1,pre
E4,182,2025-03-27,151.043,-143.8,pre
E4,183,2025-03-28,149.844,-171.0,pre
E4,184,2025-03-31,149.970,-168.2,pre
E4,185,2025-04-01,149.616,-176.2,pre
E4,186,2025-04-02,149.298,-183.4,pre
E4,187,2025-04-03,146.071,-256.8,pre
E4,188,2025-04-04,147.014,-235.4,pre
E4,189,2025-04-07,147.879,-215.7,pre
E4,190,2025-04-08,146.279,-252.1,pre
E4,191,2025-04-09,147.761,-218.4,pre
E4,192,2025-04-10,144.446,-293.8,pre
E4,193,2025-04-11,143.472,-315.9,pre
E4,194,2025-04-14,143.024,-326.1,pre
E4,195,2025-04-15,143.252,-320.9,pre
E4,196,2025-04-16,141.864,-352.5,pre
E4,197,2025-04-17,142.466,-338.8,pre
E4,198,2025-04-18,142.173,-345.5,pre
E4,199,2025-04-21,140.856,-375.4,pre
E4,200,2025-04-22,141.602,-358.5,pre
E4,201,2025-04-23,143.457,-316.3,pre
E4,202,2025-04-24,142.628,-335.1,pre
E4,203,2025-04-25,143.682,-311.2,pre
E4,204,2025-04-28,142.024,-348.9,pre
E4,205,2025-04-29,142.370,-341.0,pre
E4,206,2025-04-30,143.064,-325.2,pre
E4,207,2025-05-01,145.398,-272.1,pre
E4,208,2025-05-02,144.957,-282.2,pre
E4,209,2025-05-05,143.700,-310.8,pre
E4,210,2025-05-06,142.404,-340.2,pre
E4,211,2025-05-07,143.826,-307.9,pre
E4,212,2025-05-08,145.909,-260.5,pre
E4,213,2025-05-09,145.374,-272.7,pre
E4,214,2025-05-12,148.477,-202.1,pre
E4,215,2025-05-13,147.477,-224.9,pre
E4,216,2025-05-14,146.744,-241.5,pre
E4,217,2025-05-15,145.695,-265.4,pre
E4,218,2025-05-16,145.640,-266.6,pre
E4,219,2025-05-19,144.854,-284.5,pre
E4,220,2025-05-20,144.508,-292.4,pre
E4,221,2025-05-21,143.660,-311.7,pre
E4,222,2025-05-22,144.011,-303.7,pre
E4,223,2025-05-23,142.558,-336.7,pre
E4,224,2025-05-26,142.842,-330.3,pre
E4,225,2025-05-27,144.351,-296.0,pre
E4,226,2025-05-28,144.870,-284.1,pre
E4,227,2025-05-29,144.186,-299.7,pre
E4,228,2025-05-30,144.060,-302.6,pre
E4,229,2025-06-02,142.698,-333.5,pre
E4,230,2025-06-03,144.004,-303.8,pre
E4,231,2025-06-04,142.766,-332.0,pre
E4,232,2025-06-05,143.582,-313.4,pre
E4,233,2025-06-06,144.859,-284.4,pre
E4,234,2025-06-09,144.606,-290.2,pre
E4,235,2025-06-10,144.897,-283.5,pre
E4,236,2025-06-11,144.600,-290.3,pre
E4,237,2025-06-12,143.500,-315.3,pre
E4,238,2025-06-13,144.114,-301.3,pre
E4,239,2025-06-16,144.784,-286.1,pre
E4,240,2025-06-17,145.286,-274.7,pre
E4,241,2025-06-18,145.132,-278.2,pre
E4,242,2025-06-19,145.466,-270.6,pre
E4,243,2025-06-20,146.092,-256.4,pre
E4,244,2025-06-23,146.151,-255.0,pre
E4,245,2025-06-24,144.917,-283.1,pre
E4,246,2025-06-25,145.257,-275.3,pre
E4,247,2025-06-26,144.391,-295.0,pre
E4,248,2025-06-27,144.663,-288.9,pre
E4,249,2025-06-30,144.024,-303.4,pre
E4,250,2025-07-01,143.406,-317.4,pre
E4,251,2025-07-02,143.660,-311.7,pre
E4,252,2025-07-03,144.922,-283.0,pre
E4,253,2025-07-04,144.491,-292.8,pre
E4,254,2025-07-07,146.070,-256.9,pre
E4,255,2025-07-08,146.562,-245.7,pre
E4,256,2025-07-09,146.308,-251.4,pre
E4,257,2025-07-10,146.247,-252.8,pre
E4,258,2025-07-11,147.423,-226.1,pre
E4,259,2025-07-14,147.732,-219.1,pre
E4,260,2025-07-15,148.849,-193.7,pre
E4,261,2025-07-16,147.880,-215.7,pre
E4,262,2025-07-17,148.608,-199.1,pre
E4,263,2025-07-18,148.844,-193.8,pre
E4,264,2025-07-21,147.346,-227.8,pre
E4,265,2025-07-22,146.646,-243.8,pre
E4,266,2025-07-23,146.510,-246.9,pre
E4,267,2025-07-24,147.002,-235.7,pre
E4,268,2025-07-25,147.668,-220.5,pre
E4,269,2025-07-28,148.545,-200.6,pre
